date,team_name,time_pga_5v5,sum_shots_scored_pct_saves,sog_diff,pp_pct,1.0*total_time_5v5/total_goals_scored_5v5,pk_ga,pk_count
2020-01-25 00:00:00,Jukurit,20.16,0.9538878143133461,-80.0,0.22033898305084745,42.0,16.0,66.0
2020-02-01 00:00:00,Jukurit,20.037735849056602,0.9501627098329698,-87.0,0.21311475409836064,42.48,18.0,69.0
2020-02-12 00:00:00,Jukurit,21.056603773584907,0.9521661870390463,-98.0,0.20634920634920634,44.64,19.0,72.0
2020-02-14 00:00:00,Jukurit,21.666666666666668,0.9522834887074614,-97.0,0.2028985507246377,46.8,20.0,75.0
2020-02-19 00:00:00,Jukurit,22.29090909090909,0.9512103175656662,-93.0,0.19444444444444445,49.04,20.0,77.0
2020-02-26 00:00:00,Jukurit,22.857142857142858,0.9580742936790636,-106.0,0.2,47.407407407407405,20.0,80.0
2020-02-28 00:00:00,Jukurit,22.677966101694917,0.9555955676795299,-110.0,0.19480519480519481,49.55555555555556,20.0,81.0
2020-03-05 00:00:00,Jukurit,23.2,0.9567403424930306,-96.0,0.18518518518518517,48.0,20.0,84.0
2020-03-10 00:00:00,Jukurit,22.952380952380953,0.9596006429277942,-94.0,0.18823529411764706,46.645161290322584,20.0,87.0
2020-10-02 00:00:00,Jukurit,,,,,,,
2020-10-09 00:00:00,Jukurit,27.0,0.9846547314578005,-11.0,0.25,,0.0,3.0
2020-10-23 00:00:00,Jukurit,18.0,0.9341032608695652,-18.0,0.1111111111111111,108.0,1.0,6.0
2020-11-11 00:00:00,Jukurit,17.333333333333332,0.9376190476190476,-37.0,0.16666666666666666,156.0,2.0,12.0
2020-11-14 00:00:00,Jukurit,19.09090909090909,0.9481074481074482,-48.0,0.125,105.0,2.0,15.0
2020-11-18 00:00:00,Jukurit,18.714285714285715,0.9239766081871345,-30.0,0.10526315789473684,131.0,2.0,19.0
2020-11-27 00:00:00,Jukurit,13.73913043478261,0.8809020436927414,-40.0,0.13043478260869565,158.0,4.0,22.0
2020-11-28 00:00:00,Jukurit,13.285714285714286,0.9075189612659571,-38.0,0.1111111111111111,53.142857142857146,4.0,24.0
2021-01-05 00:00:00,Jukurit,12.411764705882353,0.9145299145299146,-52.0,0.12903225806451613,46.888888888888886,4.0,29.0
2021-01-09 00:00:00,Jukurit,13.333333333333334,0.9211813532943007,-56.0,0.11428571428571428,43.63636363636363,4.0,30.0
2021-01-15 00:00:00,Jukurit,14.105263157894736,0.9411962160512665,-64.0,0.10526315789473684,33.5,5.0,32.0
2021-01-16 00:00:00,Jukurit,14.146341463414634,0.9394891699010892,-81.0,0.0975609756097561,34.11764705882353,7.0,40.0
2021-01-20 00:00:00,Jukurit,13.869565217391305,0.9370807095526197,-83.0,0.11904761904761904,33.578947368421055,8.0,41.0
2021-01-22 00:00:00,Jukurit,14.122448979591837,0.9346286016389109,-99.0,0.10416666666666667,36.421052631578945,9.0,44.0
2021-01-27 00:00:00,Jukurit,14.0,0.9325464255370797,-120.0,0.11320754716981132,39.05263157894737,11.0,49.0
2021-02-02 00:00:00,Jukurit,13.859649122807017,0.9360395093626155,-142.0,0.10714285714285714,37.61904761904762,12.0,55.0
