date,home_team,home_goals,away_team,away_goals,OT,home_shots,away_shots,home_sog,away_sog,home_sog_pct,away_sog_pct,home_pp,away_pp,home_ppg,away_ppg,home_ppp,away_ppp
2017-09-08,Jukurit,0,KalPa,3,False,46,49,29,29,0.6304347826086957,0.5918367346938775,2,3,0,1,0.0,0.3333333333333333
2017-09-08,HPK,1,Kärpät,2,False,48,44,24,30,0.5,0.6818181818181818,4,1,0,0,0.0,0.0
2017-09-08,Ilves,0,Tappara,3,False,55,44,27,22,0.4909090909090909,0.5,3,2,0,1,0.0,0.5
2017-09-08,JYP,4,HIFK,2,False,44,55,29,24,0.6590909090909091,0.43636363636363634,2,3,1,1,0.5,0.3333333333333333
2017-09-08,Lukko,1,TPS,0,True,44,53,24,29,0.5454545454545454,0.5471698113207547,4,3,0,0,0.0,0.0
2017-09-08,SaiPa,1,KooKoo,7,False,45,54,33,41,0.7333333333333333,0.7592592592592593,4,6,0,3,0.0,0.5
2017-09-08,Pelicans,3,Sport,5,False,49,48,31,26,0.6326530612244898,0.5416666666666666,3,3,1,0,0.3333333333333333,0.0
2017-09-09,HIFK,3,JYP,4,True,43,58,26,37,0.6046511627906976,0.6379310344827587,5,3,1,1,0.2,0.3333333333333333
2017-09-09,KooKoo,4,SaiPa,2,False,46,67,28,27,0.6086956521739131,0.40298507462686567,4,4,2,1,0.5,0.25
2017-09-09,Kärpät,2,HPK,3,True,72,34,40,20,0.5555555555555556,0.5882352941176471,5,1,0,1,0.0,1.0
2017-09-09,Jukurit,0,Pelicans,3,False,53,58,26,35,0.49056603773584906,0.603448275862069,4,3,0,1,0.0,0.3333333333333333
2017-09-09,Sport,3,Lukko,5,False,54,38,34,17,0.6296296296296297,0.4473684210526316,4,3,0,2,0.0,0.6666666666666666
2017-09-09,Ässät,6,Ilves,2,False,44,35,31,28,0.7045454545454546,0.8,2,5,1,2,0.5,0.4
2017-09-09,TPS,6,Tappara,2,False,58,50,41,25,0.7068965517241379,0.5,5,2,3,0,0.6,0.0
2017-09-12,HPK,1,Ässät,2,False,49,42,29,26,0.5918367346938775,0.6190476190476191,4,5,0,1,0.0,0.2
2017-09-12,JYP,4,Kärpät,3,False,64,44,31,21,0.484375,0.4772727272727273,5,2,0,1,0.0,0.5
2017-09-12,Pelicans,4,KooKoo,3,True,53,50,27,27,0.5094339622641509,0.54,2,1,0,1,0.0,1.0
2017-09-12,Tappara,1,KalPa,0,False,38,47,20,30,0.5263157894736842,0.6382978723404256,3,4,0,0,0.0,0.0
2017-09-12,TPS,7,Sport,2,False,47,35,29,21,0.6170212765957447,0.6,3,3,1,0,0.3333333333333333,0.0
2017-09-13,HIFK,3,HPK,1,False,51,47,30,29,0.5882352941176471,0.6170212765957447,6,2,2,0,0.3333333333333333,0.0
2017-09-13,Ilves,2,SaiPa,3,False,42,39,22,22,0.5238095238095238,0.5641025641025641,1,3,0,0,0.0,0.0
2017-09-13,Ässät,6,Jukurit,2,False,42,50,30,30,0.7142857142857143,0.6,3,4,1,0,0.3333333333333333,0.0
2017-09-14,Kärpät,5,Pelicans,2,False,49,65,35,40,0.7142857142857143,0.6153846153846154,6,3,1,0,0.16666666666666666,0.0
2017-09-14,Lukko,4,Jukurit,1,False,70,48,37,23,0.5285714285714286,0.4791666666666667,3,2,0,0,0.0,0.0
2017-09-15,KalPa,2,HIFK,1,False,45,61,24,34,0.5333333333333333,0.5573770491803278,2,2,0,1,0.0,0.5
2017-09-15,KooKoo,3,JYP,2,True,73,43,32,27,0.4383561643835616,0.627906976744186,3,3,1,1,0.3333333333333333,0.3333333333333333
2017-09-15,SaiPa,1,TPS,0,True,51,54,33,30,0.6470588235294118,0.5555555555555556,3,5,0,0,0.0,0.0
2017-09-15,Sport,4,Ilves,3,True,49,45,30,23,0.6122448979591837,0.5111111111111111,4,3,1,1,0.25,0.3333333333333333
2017-09-16,HPK,2,Ilves,0,False,45,38,28,25,0.6222222222222222,0.6578947368421053,3,3,1,0,0.3333333333333333,0.0
2017-09-16,Jukurit,1,JYP,3,False,43,55,23,24,0.5348837209302325,0.43636363636363634,3,3,1,1,0.3333333333333333,0.3333333333333333
2017-09-16,KalPa,3,TPS,4,True,51,58,25,30,0.49019607843137253,0.5172413793103449,3,5,1,0,0.3333333333333333,0.0
2017-09-16,Kärpät,8,Sport,1,False,66,31,45,21,0.6818181818181818,0.6774193548387096,5,1,2,0,0.4,0.0
2017-09-16,Pelicans,2,HIFK,1,False,52,39,25,16,0.4807692307692308,0.41025641025641024,2,3,0,0,0.0,0.0
2017-09-16,Tappara,2,KooKoo,1,True,80,44,49,22,0.6125,0.5,2,0,0,0,0.0,0.0
2017-09-16,Lukko,7,Ässät,2,False,59,36,37,19,0.6271186440677966,0.5277777777777778,6,3,3,0,0.5,0.0
2017-09-19,Jukurit,2,KooKoo,1,False,42,65,23,31,0.5476190476190477,0.47692307692307695,4,6,1,1,0.25,0.16666666666666666
2017-09-19,JYP,4,Lukko,1,False,49,46,30,30,0.6122448979591837,0.6521739130434783,4,3,0,1,0.0,0.3333333333333333
2017-09-19,KalPa,1,Kärpät,3,False,48,53,29,28,0.6041666666666666,0.5283018867924528,2,3,0,0,0.0,0.0
2017-09-19,SaiPa,1,HPK,5,False,57,35,30,20,0.5263157894736842,0.5714285714285714,6,1,0,0,0.0,0.0
2017-09-19,TPS,3,Pelicans,2,False,37,54,22,31,0.5945945945945946,0.5740740740740741,2,3,1,0,0.5,0.0
2017-09-19,Ässät,3,Tappara,2,True,47,55,31,33,0.6595744680851063,0.6,3,5,0,0,0.0,0.0
2017-09-20,Ilves,2,HIFK,1,True,53,50,32,23,0.6037735849056604,0.46,5,4,0,0,0.0,0.0
2017-09-21,Tappara,3,JYP,4,False,56,52,32,31,0.5714285714285714,0.5961538461538461,2,1,0,0,0.0,0.0
2017-09-22,HIFK,2,Jukurit,3,False,44,31,28,19,0.6363636363636364,0.6129032258064516,2,3,0,1,0.0,0.3333333333333333
2017-09-22,Lukko,4,KalPa,0,False,41,40,24,17,0.5853658536585366,0.425,3,3,1,0,0.3333333333333333,0.0
2017-09-22,Pelicans,7,SaiPa,2,False,57,37,33,24,0.5789473684210527,0.6486486486486487,7,3,5,0,0.7142857142857143,0.0
2017-09-22,Sport,4,Ässät,2,False,62,35,41,20,0.6612903225806451,0.5714285714285714,5,3,1,0,0.2,0.0
2017-09-22,TPS,4,Kärpät,2,False,48,43,29,27,0.6041666666666666,0.627906976744186,4,3,2,0,0.5,0.0
2017-09-23,Ässät,3,KalPa,1,False,32,46,23,27,0.71875,0.5869565217391305,4,3,1,0,0.25,0.0
2017-09-23,HPK,3,Kärpät,1,False,40,58,25,26,0.625,0.4482758620689655,5,5,0,0,0.0,0.0
2017-09-23,Jukurit,2,Ilves,3,True,42,50,21,25,0.5,0.5,1,3,0,1,0.0,0.3333333333333333
2017-09-23,JYP,2,TPS,3,False,71,29,46,19,0.647887323943662,0.6551724137931034,4,3,1,1,0.25,0.3333333333333333
2017-09-23,SaiPa,2,HIFK,1,True,43,56,29,31,0.6744186046511628,0.5535714285714286,5,6,1,1,0.2,0.16666666666666666
