date,home_team,home_goals,away_team,away_goals,OT,home_shots,away_shots,home_sog,away_sog,home_sog_pct,away_sog_pct,home_pp,away_pp,home_ppg,away_ppg,home_ppp,away_ppp
2021-09-09,Lukko,3,TPS,5,False,52,44,26,26,0.5,0.5909090909090909,1,5,0,2,0.0,0.4
2021-09-10,HPK,1,Tappara,3,False,40,32,21,13,0.525,0.40625,3,4,1,0,0.3333333333333333,0.0
2021-09-10,Jukurit,2,KalPa,1,True,24,66,15,32,0.625,0.48484848484848486,2,4,0,0,0.0,0.0
2021-09-10,JYP,2,HIFK,1,True,38,60,17,34,0.4473684210526316,0.5666666666666667,2,2,0,0,0.0,0.0
2021-09-10,SaiPa,1,KooKoo,0,False,28,49,18,22,0.6428571428571429,0.4489795918367347,5,5,1,0,0.2,0.0
2021-09-10,Ässät,4,Sport,1,False,52,49,26,18,0.5,0.3673469387755102,5,2,3,0,0.6,0.0
2021-09-11,Kärpät,6,JYP,2,False,48,42,25,24,0.5208333333333334,0.5714285714285714,6,3,1,0,0.16666666666666666,0.0
2021-09-11,KalPa,0,Jukurit,3,False,50,41,23,25,0.46,0.6097560975609756,1,1,0,0,0.0,0.0
2021-09-11,KooKoo,3,SaiPa,1,False,51,42,27,26,0.5294117647058824,0.6190476190476191,5,2,1,0,0.2,0.0
2021-09-11,Pelicans,3,HIFK,6,False,24,66,12,36,0.5,0.5454545454545454,3,5,1,1,0.3333333333333333,0.2
2021-09-11,TPS,2,Ilves,3,False,35,33,21,16,0.6,0.48484848484848486,1,3,0,1,0.0,0.3333333333333333
2021-09-11,Lukko,5,Ässät,1,False,61,37,36,23,0.5901639344262295,0.6216216216216216,3,3,2,1,0.6666666666666666,0.3333333333333333
2021-09-11,Sport,3,Tappara,2,False,38,36,22,18,0.5789473684210527,0.5,2,3,0,2,0.0,0.6666666666666666
2021-09-15,HIFK,2,Lukko,3,True,50,40,30,29,0.6,0.725,5,2,1,1,0.2,0.5
2021-09-15,Jukurit,2,Pelicans,6,False,45,61,21,43,0.4666666666666667,0.7049180327868853,2,6,1,3,0.5,0.5
2021-09-15,JYP,1,TPS,2,False,39,37,19,21,0.48717948717948717,0.5675675675675675,2,4,0,0,0.0,0.0
2021-09-15,Kärpät,1,HPK,2,True,48,44,27,24,0.5625,0.5454545454545454,2,4,0,0,0.0,0.0
2021-09-15,Ässät,5,KalPa,4,True,38,51,25,28,0.6578947368421053,0.5490196078431373,3,4,1,1,0.3333333333333333,0.25
2021-09-16,Tappara,2,Ilves,3,False,69,22,39,13,0.5652173913043478,0.5909090909090909,5,3,0,1,0.0,0.3333333333333333
2021-09-17,HPK,2,Ässät,1,True,35,46,21,24,0.6,0.5217391304347826,1,2,0,0,0.0,0.0
2021-09-17,KooKoo,1,JYP,2,True,58,47,24,31,0.41379310344827586,0.6595744680851063,5,8,0,2,0.0,0.25
2021-09-17,Lukko,5,Kärpät,4,True,72,44,40,22,0.5555555555555556,0.5,6,3,1,1,0.16666666666666666,0.3333333333333333
2021-09-17,Pelicans,1,TPS,0,False,29,48,20,22,0.6896551724137931,0.4583333333333333,3,2,0,0,0.0,0.0
2021-09-17,Sport,4,KalPa,3,False,41,39,25,19,0.6097560975609756,0.48717948717948717,4,6,2,2,0.5,0.3333333333333333
2021-09-18,HIFK,4,Sport,1,False,36,30,25,16,0.6944444444444444,0.5333333333333333,3,2,1,0,0.3333333333333333,0.0
2021-09-18,JYP,3,KooKoo,1,False,56,35,35,19,0.625,0.5428571428571428,5,3,1,0,0.2,0.0
2021-09-18,SaiPa,2,HPK,1,True,63,39,39,25,0.6190476190476191,0.6410256410256411,4,2,0,0,0.0,0.0
2021-09-18,Ässät,1,Kärpät,7,False,61,43,33,30,0.5409836065573771,0.6976744186046512,4,5,0,5,0.0,1.0
2021-09-18,KalPa,3,Pelicans,2,True,55,19,30,11,0.5454545454545454,0.5789473684210527,5,3,0,0,0.0,0.0
2021-09-18,TPS,1,Lukko,0,False,44,42,30,26,0.6818181818181818,0.6190476190476191,3,2,0,0,0.0,0.0
2021-09-21,Ilves,3,Pelicans,4,True,42,34,19,18,0.4523809523809524,0.5294117647058824,3,3,0,1,0.0,0.3333333333333333
2021-09-22,Jukurit,3,Ässät,4,True,58,28,33,20,0.5689655172413793,0.7142857142857143,5,2,1,1,0.2,0.5
2021-09-22,KooKoo,7,KalPa,4,False,38,60,18,30,0.47368421052631576,0.5,3,2,1,1,0.3333333333333333,0.5
2021-09-22,Sport,4,Lukko,0,False,55,50,28,31,0.509090909090909,0.62,4,2,0,0,0.0,0.0
2021-09-22,Tappara,3,Kärpät,2,True,45,24,24,11,0.5333333333333333,0.4583333333333333,0,1,0,0,0.0,0.0
2021-09-22,TPS,3,SaiPa,1,False,33,29,16,20,0.48484848484848486,0.6896551724137931,4,2,2,0,0.5,0.0
2021-09-23,HIFK,1,TPS,2,False,73,28,36,17,0.4931506849315068,0.6071428571428571,4,2,0,1,0.0,0.5
2021-09-24,Ilves,6,HPK,1,False,37,48,22,34,0.5945945945945946,0.7083333333333334,3,4,1,0,0.3333333333333333,0.0
2021-09-24,JYP,1,SaiPa,3,False,44,58,18,39,0.4090909090909091,0.6724137931034483,3,4,0,2,0.0,0.5
