date,home_team,home_goals,away_team,away_goals,OT,home_shots,away_shots,home_sog,away_sog,home_sog_pct,away_sog_pct,home_pp,away_pp,home_ppg,away_ppg,home_ppp,away_ppp
2022-09-13,Tappara,3,TPS,1,False,48,36,29,22,0.6041666666666666,0.6111111111111112,1,1,0,0,0.0,0.0
2022-09-14,HIFK,4,HPK,1,False,66,30,39,16,0.5909090909090909,0.5333333333333333,5,2,0,0,0.0,0.0
2022-09-14,Ilves,3,Ässät,0,False,45,36,20,20,0.4444444444444444,0.5555555555555556,4,3,2,0,0.5,0.0
2022-09-14,Jukurit,3,KooKoo,4,False,77,33,40,19,0.5194805194805194,0.5757575757575758,6,1,2,1,0.3333333333333333,1.0
2022-09-14,KalPa,3,SaiPa,1,False,54,40,31,23,0.5740740740740741,0.575,4,1,1,0,0.25,0.0
2022-09-14,Kärpät,3,Pelicans,2,True,72,33,33,15,0.4583333333333333,0.45454545454545453,5,1,0,0,0.0,0.0
2022-09-14,Sport,3,JYP,1,False,57,39,33,22,0.5789473684210527,0.5641025641025641,3,1,2,0,0.6666666666666666,0.0
2022-09-15,Tappara,5,HIFK,2,False,49,40,21,18,0.42857142857142855,0.45,5,2,1,1,0.2,0.5
2022-09-16,Jukurit,4,HPK,5,False,53,51,33,27,0.6226415094339622,0.5294117647058824,4,3,2,0,0.5,0.0
2022-09-16,JYP,5,Lukko,2,False,44,57,22,27,0.5,0.47368421052631576,5,1,2,0,0.4,0.0
2022-09-16,KooKoo,3,SaiPa,2,True,45,31,20,20,0.4444444444444444,0.6451612903225806,2,2,0,0,0.0,0.0
2022-09-16,Pelicans,3,KalPa,2,False,29,65,19,32,0.6551724137931034,0.49230769230769234,4,2,1,0,0.25,0.0
2022-09-16,Sport,1,Ilves,4,False,66,22,29,14,0.4393939393939394,0.6363636363636364,4,3,0,1,0.0,0.3333333333333333
2022-09-16,TPS,7,Ässät,2,False,42,52,24,19,0.5714285714285714,0.36538461538461536,5,3,1,0,0.2,0.0
2022-09-17,HPK,2,Sport,1,False,50,48,29,33,0.58,0.6875,4,5,1,0,0.25,0.0
2022-09-17,Ilves,2,HIFK,1,False,23,47,8,18,0.34782608695652173,0.3829787234042553,4,2,0,0,0.0,0.0
2022-09-17,KalPa,3,Jukurit,2,False,49,50,27,23,0.5510204081632653,0.46,1,3,1,1,1.0,0.3333333333333333
2022-09-17,Kärpät,3,Tappara,0,False,54,45,26,27,0.48148148148148145,0.6,3,0,0,0,0.0,0.3333333333333333
2022-09-17,Lukko,6,TPS,0,False,60,39,37,18,0.6166666666666667,0.46153846153846156,3,5,1,0,0.3333333333333333,0.0
2022-09-17,SaiPa,1,KooKoo,4,False,37,45,25,23,0.6756756756756757,0.5111111111111111,2,2,1,0,0.5,0.0
2022-09-17,Ässät,5,JYP,0,False,47,51,24,20,0.5106382978723404,0.39215686274509803,2,4,1,0,0.5,0.0
2022-09-21,Jukurit,3,Lukko,1,False,30,64,20,32,0.6666666666666666,0.5,3,3,0,0,0.0,0.0
2022-09-21,JYP,1,TPS,4,False,66,46,29,27,0.4393939393939394,0.5869565217391305,0,0,0,0,0.0,0.0
2022-09-21,Pelicans,2,SaiPa,1,True,44,36,26,20,0.5909090909090909,0.5555555555555556,3,1,0,1,0.0,1.0
2022-09-21,Sport,1,Kärpät,4,False,51,41,27,24,0.5294117647058824,0.5853658536585366,5,3,0,1,0.0,0.3333333333333333
2022-09-21,Tappara,3,HPK,4,True,47,35,27,21,0.574468085106383,0.6,3,2,2,0,0.6666666666666666,0.0
2022-09-21,Ässät,2,Ilves,3,True,59,50,34,25,0.576271186440678,0.5,3,2,0,1,0.0,0.5
2022-09-22,HPK,3,JYP,2,True,50,54,31,25,0.62,0.46296296296296297,3,2,0,0,0.0,0.0
2022-09-23,Ilves,3,Tappara,0,False,45,37,23,16,0.5111111111111111,0.43243243243243246,3,3,0,0,0.0,0.0
2022-09-23,Jukurit,3,Ässät,0,False,49,53,26,25,0.5306122448979592,0.4716981132075472,3,1,1,0,0.3333333333333333,0.0
2022-09-23,KooKoo,2,TPS,3,False,63,38,29,29,0.4603174603174603,0.7631578947368421,2,3,0,2,0.0,0.6666666666666666
2022-09-23,Lukko,2,Pelicans,1,False,44,43,22,24,0.5,0.5581395348837209,3,6,1,1,0.3333333333333333,0.16666666666666666
2022-09-23,SaiPa,2,HIFK,1,False,32,62,16,31,0.5,0.5,1,3,0,0,0.0,0.0
2022-09-23,Sport,2,KalPa,1,False,60,43,33,22,0.55,0.5116279069767442,4,2,0,0,0.0,0.0
2022-09-24,HIFK,1,KooKoo,5,False,41,34,20,16,0.4878048780487805,0.47058823529411764,1,2,0,2,0.0,1.0
2022-09-24,JYP,2,SaiPa,0,False,38,34,17,15,0.4473684210526316,0.4411764705882353,7,4,0,0,0.0,0.0
2022-09-24,Kärpät,4,HPK,1,False,67,37,36,18,0.5373134328358209,0.4864864864864865,5,2,1,1,0.2,0.5
2022-09-24,Tappara,4,Jukurit,1,False,55,40,28,19,0.509090909090909,0.475,2,3,1,0,0.5,0.0
2022-09-24,TPS,2,Lukko,1,True,44,52,19,18,0.4318181818181818,0.34615384615384615,3,1,0,0,0.0,0.0
2022-09-24,Pelicans,5,Ilves,1,False,45,43,31,21,0.6888888888888889,0.4883720930232558,6,2,3,0,0.5,0.0
2022-09-24,Ässät,3,KalPa,1,False,44,52,18,30,0.4090909090909091,0.5769230769230769,3,1,1,0,0.3333333333333333,0.0
2022-09-27,HPK,2,Jukurit,3,False,58,54,28,37,0.4827586206896552,0.6851851851851852,4,2,0,1,0.0,0.5
2022-09-27,Ilves,3,Kärpät,1,False,40,58,18,30,0.45,0.5172413793103449,5,5,0,0,0.0,0.0
2022-09-27,Lukko,5,JYP,1,False,53,37,33,18,0.6226415094339622,0.4864864864864865,3,8,1,1,0.3333333333333333,0.125
2022-09-27,TPS,2,Pelicans,1,False,36,54,20,28,0.5555555555555556,0.5185185185185185,0,2,0,0,0.3333333333333333,0.0
2022-09-28,HIFK,4,Sport,3,True,37,37,19,19,0.5135135135135135,0.5135135135135135,2,4,0,0,0.0,0.0
2022-09-28,KalPa,7,Ilves,4,False,67,40,31,23,0.4626865671641791,0.575,7,3,2,3,0.2857142857142857,1.0
2022-09-28,Tappara,5,KooKoo,4,True,47,40,25,22,0.5319148936170213,0.55,3,1,1,0,0.3333333333333333,0.0
2022-09-29,Jukurit,5,Pelicans,4,True,49,40,31,19,0.6326530612244898,0.475,3,3,1,1,0.3333333333333333,0.3333333333333333
2022-09-29,Kärpät,6,JYP,7,True,72,50,39,31,0.5416666666666666,0.62,4,2,2,2,0.5,1.0
2022-09-30,HPK,3,HIFK,2,False,40,37,21,19,0.525,0.5135135135135135,4,3,0,0,0.0,0.0
2022-09-30,KalPa,4,Sport,3,True,37,38,21,20,0.5675675675675675,0.5263157894736842,3,1,0,0,0.0,0.0
2022-09-30,KooKoo,0,Lukko,2,False,43,45,22,24,0.5116279069767442,0.5333333333333333,3,4,0,0,0.0,0.0
2022-09-30,SaiPa,1,TPS,4,False,54,45,29,23,0.5370370370370371,0.5111111111111111,6,2,1,0,0.16666666666666666,0.0
2022-09-30,Tappara,1,Ässät,4,False,48,41,23,25,0.4791666666666667,0.6097560975609756,3,2,0,1,0.0,0.5
2022-10-01,HIFK,2,TPS,1,False,51,40,23,19,0.45098039215686275,0.475,1,1,0,0,0.0,0.0
2022-10-01,Ilves,2,HPK,3,True,50,37,36,22,0.72,0.5945945945945946,4,1,1,0,0.25,0.0
