date,home_team,home_goals,away_team,away_goals,OT,home_shots,away_shots,home_sog,away_sog,home_sog_pct,away_sog_pct,home_pp,away_pp,home_ppg,away_ppg,home_ppp,away_ppp
2023-09-12,Lukko,1,HPK,2,False,47,41,23,21,0.48936170212765956,0.5121951219512195,4,3,0,1,0.0,0.3333333333333333
2023-09-13,Jukurit,4,KooKoo,1,False,64,46,42,20,0.65625,0.43478260869565216,3,0,0,0,0.0,0.3333333333333333
2023-09-13,JYP,2,TPS,3,True,37,34,22,15,0.5945945945945946,0.4411764705882353,6,4,0,1,0.0,0.25
2023-09-13,KalPa,4,SaiPa,3,True,49,53,28,31,0.5714285714285714,0.5849056603773585,6,4,1,0,0.16666666666666666,0.0
2023-09-13,Kärpät,2,Sport,1,True,52,49,31,28,0.5961538461538461,0.5714285714285714,4,2,2,1,0.5,0.5
2023-09-13,Tappara,4,Pelicans,0,False,37,44,24,29,0.6486486486486487,0.6590909090909091,3,2,0,0,0.0,0.0
2023-09-13,Ässät,3,Ilves,4,False,55,35,30,22,0.5454545454545454,0.6285714285714286,4,2,1,0,0.25,0.0
2023-09-14,Ilves,3,Lukko,4,True,26,39,17,23,0.6538461538461539,0.5897435897435898,6,6,1,2,0.16666666666666666,0.3333333333333333
2023-09-15,HPK,1,TPS,5,False,39,57,26,34,0.6666666666666666,0.5964912280701754,3,8,1,2,0.3333333333333333,0.25
2023-09-15,SaiPa,3,KooKoo,4,True,41,51,27,20,0.6585365853658537,0.39215686274509803,2,6,1,2,0.5,0.3333333333333333
2023-09-15,Sport,4,Ässät,1,False,37,44,22,22,0.5945945945945946,0.5,3,4,2,0,0.6666666666666666,0.0
2023-09-15,Tappara,4,HIFK,3,False,46,37,28,20,0.6086956521739131,0.5405405405405406,2,2,0,1,0.0,0.5
2023-09-16,Ilves,6,HPK,3,False,43,44,20,23,0.46511627906976744,0.5227272727272727,5,4,2,1,0.4,0.25
2023-09-16,Jukurit,3,JYP,4,True,51,39,38,23,0.7450980392156863,0.5897435897435898,5,2,3,1,0.6,0.5
2023-09-16,KooKoo,3,SaiPa,5,False,56,41,28,22,0.5,0.5365853658536586,2,6,0,2,0.0,0.3333333333333333
2023-09-16,Lukko,4,HIFK,5,True,41,35,18,18,0.43902439024390244,0.5142857142857142,6,2,1,2,0.16666666666666666,1.0
2023-09-16,Pelicans,4,Kärpät,1,False,53,46,26,19,0.49056603773584906,0.41304347826086957,5,1,2,0,0.4,0.0
2023-09-16,TPS,3,Sport,2,False,26,44,13,23,0.5,0.5227272727272727,2,4,0,0,0.0,0.0
2023-09-16,Ässät,6,KalPa,0,False,36,55,18,23,0.5,0.41818181818181815,1,3,0,0,0.0,0.0
2023-09-20,HIFK,3,KooKoo,0,False,57,33,26,18,0.45614035087719296,0.5454545454545454,6,3,0,0,0.0,0.0
2023-09-20,HPK,1,Jukurit,4,False,37,50,17,33,0.4594594594594595,0.66,2,3,0,1,0.0,0.3333333333333333
2023-09-20,JYP,0,Tappara,4,False,39,39,20,19,0.5128205128205128,0.48717948717948717,3,2,0,2,0.0,1.0
2023-09-20,KalPa,5,Pelicans,2,False,38,38,27,20,0.7105263157894737,0.5263157894736842,5,2,1,0,0.2,0.0
2023-09-20,Kärpät,2,TPS,3,True,57,50,33,26,0.5789473684210527,0.52,4,2,0,0,0.0,0.0
2023-09-20,Lukko,2,Ilves,4,False,54,36,31,20,0.5740740740740741,0.5555555555555556,1,4,0,1,0.0,0.25
2023-09-20,SaiPa,1,Ässät,2,False,33,42,17,21,0.5151515151515151,0.5,2,2,1,0,0.5,0.0
2023-09-21,Jukurit,2,Ässät,3,True,55,53,28,30,0.509090909090909,0.5660377358490566,2,1,1,0,0.5,0.0
2023-09-22,HPK,1,HIFK,2,False,36,43,16,25,0.4444444444444444,0.5813953488372093,2,1,0,0,0.0,0.0
2023-09-22,Ilves,1,Pelicans,3,False,27,43,17,21,0.6296296296296297,0.4883720930232558,2,6,1,0,0.5,0.0
2023-09-22,KalPa,2,Lukko,0,False,43,49,21,20,0.4883720930232558,0.40816326530612246,2,2,1,0,0.5,0.0
2023-09-22,KooKoo,3,Sport,1,False,27,33,18,16,0.6666666666666666,0.48484848484848486,3,2,0,1,0.0,0.5
2023-09-23,JYP,3,KooKoo,0,False,30,47,18,25,0.6,0.5319148936170213,4,2,2,0,0.5,0.0
2023-09-23,Kärpät,2,Lukko,3,False,58,42,29,24,0.5,0.5714285714285714,3,2,0,2,0.0,1.0
2023-09-23,Pelicans,0,Jukurit,4,False,33,54,16,27,0.48484848484848486,0.5,3,3,0,0,0.0,0.0
2023-09-23,SaiPa,3,Sport,4,True,47,57,25,25,0.5319148936170213,0.43859649122807015,2,4,0,1,0.0,0.25
2023-09-23,Tappara,5,KalPa,4,False,37,42,15,23,0.40540540540540543,0.5476190476190477,4,2,2,0,0.5,0.0
2023-09-23,Ässät,1,HPK,0,False,57,24,32,9,0.5614035087719298,0.375,3,1,0,0,0.0,0.0
2023-09-23,TPS,3,Ilves,0,False,53,19,31,15,0.5849056603773585,0.7894736842105263,4,1,1,0,0.25,0.0
2023-09-27,HIFK,4,Jukurit,3,True,55,59,30,38,0.5454545454545454,0.6440677966101694,4,2,0,1,0.0,0.5
2023-09-27,HPK,3,JYP,4,True,46,45,26,23,0.5652173913043478,0.5111111111111111,3,5,1,3,0.3333333333333333,0.6
2023-09-27,KooKoo,3,Tappara,4,True,55,28,35,15,0.6363636363636364,0.5357142857142857,4,2,0,1,0.0,0.5
2023-09-27,Lukko,4,Pelicans,0,False,63,22,28,16,0.4444444444444444,0.7272727272727273,3,1,0,0,0.0,0.0
2023-09-27,Sport,1,Kärpät,2,False,41,42,23,25,0.5609756097560976,0.5952380952380952,4,3,0,0,0.0,0.0
2023-09-28,Tappara,3,Ilves,5,False,54,43,25,25,0.46296296296296297,0.5813953488372093,3,4,1,2,0.3333333333333333,0.5
2023-09-29,Ilves,3,HIFK,2,True,43,50,24,29,0.5581395348837209,0.58,4,2,0,0,0.0,0.0
2023-09-29,KalPa,3,JYP,4,True,47,28,22,16,0.46808510638297873,0.5714285714285714,3,4,3,2,1.0,0.5
2023-09-29,KooKoo,4,Lukko,5,False,37,55,20,27,0.5405405405405406,0.4909090909090909,2,5,1,2,0.5,0.4
2023-09-29,Kärpät,4,SaiPa,2,False,68,41,41,26,0.6029411764705882,0.6341463414634146,6,2,2,0,0.3333333333333333,0.0
2023-09-29,Pelicans,2,Sport,4,False,31,39,20,25,0.6451612903225806,0.6410256410256411,4,3,0,1,0.0,0.3333333333333333
2023-09-29,TPS,3,Ässät,2,True,50,32,22,15,0.44,0.46875,2,3,1,0,0.5,0.0
2023-09-30,HIFK,1,Pelicans,2,True,42,38,27,17,0.6428571428571429,0.4473684210526316,4,1,1,0,0.25,0.0
2023-09-30,JYP,7,SaiPa,3,False,42,45,28,27,0.6666666666666666,0.6,7,3,5,2,0.7142857142857143,0.6666666666666666
2023-09-30,Sport,0,Jukurit,3,False,42,41,12,31,0.2857142857142857,0.7560975609756098,3,2,0,0,0.0,0.0
2023-09-30,Tappara,6,HPK,1,False,47,35,24,21,0.5106382978723404,0.6,5,4,1,0,0.2,0.0
2023-09-30,Ässät,3,TPS,1,False,39,59,19,25,0.48717948717948717,0.423728813559322,4,2,1,1,0.25,0.5
2023-09-30,Lukko,2,KalPa,1,False,37,44,22,24,0.5945945945945946,0.5454545454545454,4,5,0,0,0.0,0.0
2023-09-26,Ilves,1,KalPa,2,False,38,48,22,24,0.5789473684210527,0.5,1,2,1,0,1.0,0.0
2023-10-03,Lukko,1,Tappara,2,False,45,35,27,18,0.6,0.5142857142857142,2,1,0,0,0.0,0.0
2023-10-04,JYP,1,Ässät,4,False,43,38,22,21,0.5116279069767442,0.5526315789473685,3,1,0,1,0.0,1.0
2023-10-04,Pelicans,3,KooKoo,4,False,48,37,26,19,0.5416666666666666,0.5135135135135135,3,2,0,2,0.0,1.0
2023-10-04,Sport,1,HIFK,4,False,51,31,19,18,0.37254901960784315,0.5806451612903226,2,0,0,0,0.0,1.0
2023-10-04,TPS,2,HPK,5,False,55,26,26,18,0.4727272727272727,0.6923076923076923,4,2,1,1,0.25,0.5
2023-10-05,Kärpät,3,Ilves,6,False,58,35,32,22,0.5517241379310345,0.6285714285714286,3,2,0,0,0.0,0.0
2023-10-05,SaiPa,1,Lukko,2,False,44,41,20,18,0.45454545454545453,0.43902439024390244,5,4,0,1,0.0,0.25
2023-10-06,KalPa,4,Sport,3,True,51,42,33,23,0.6470588235294118,0.5476190476190477,2,3,0,1,0.0,0.3333333333333333
2023-10-06,KooKoo,2,HPK,4,False,68,37,37,19,0.5441176470588235,0.5135135135135135,2,4,0,3,0.0,0.75
2023-10-06,Tappara,3,Jukurit,2,False,37,55,20,34,0.5405405405405406,0.6181818181818182,3,5,1,2,0.3333333333333333,0.4
2023-10-06,TPS,5,Pelicans,4,True,53,45,30,28,0.5660377358490566,0.6222222222222222,2,3,1,0,0.5,0.0
2023-12-13,Ässät,1,JYP,2,True,64,41,22,21,0.34375,0.5121951219512195,2,3,0,0,0.0,0.0
2023-10-07,HIFK,2,Ässät,3,True,73,50,35,24,0.4794520547945205,0.48,3,3,1,0,0.3333333333333333,0.0
2023-10-07,HPK,5,SaiPa,1,False,43,44,27,28,0.627906976744186,0.6363636363636364,4,7,2,1,0.5,0.14285714285714285
2023-10-07,Ilves,4,KooKoo,2,False,34,46,23,27,0.6764705882352942,0.5869565217391305,3,2,2,1,0.6666666666666666,0.5
2023-10-07,Jukurit,2,Sport,4,False,64,31,41,17,0.640625,0.5483870967741935,4,1,1,1,0.25,1.0
2023-10-07,JYP,2,Kärpät,3,False,48,44,28,20,0.5833333333333334,0.45454545454545453,2,4,0,1,0.0,0.25
2023-10-07,Lukko,3,TPS,0,False,37,50,18,29,0.4864864864864865,0.58,4,3,1,0,0.25,0.0
2023-10-07,Pelicans,4,Tappara,5,True,63,34,38,22,0.6031746031746031,0.6470588235294118,5,3,1,1,0.2,0.3333333333333333
2023-10-11,HPK,1,HIFK,2,True,45,43,23,26,0.5111111111111111,0.6046511627906976,3,1,0,0,0.0,0.0
2023-10-11,SaiPa,2,Kärpät,5,False,54,46,27,24,0.5,0.5217391304347826,7,6,1,3,0.14285714285714285,0.5
2023-10-11,TPS,3,KalPa,2,True,42,48,22,29,0.5238095238095238,0.6041666666666666,4,6,0,1,0.0,0.16666666666666666
2023-10-11,Ässät,3,KooKoo,4,True,48,71,24,43,0.5,0.6056338028169014,2,3,1,1,0.5,0.3333333333333333
2023-10-12,HIFK,5,Kärpät,3,False,62,47,34,22,0.5483870967741935,0.46808510638297873,2,2,1,1,0.5,0.5
2023-10-13,Jukurit,3,HPK,4,True,60,27,28,17,0.4666666666666667,0.6296296296296297,4,2,1,0,0.25,0.0
2023-10-13,KooKoo,4,TPS,2,False,41,37,25,22,0.6097560975609756,0.5945945945945946,2,2,0,0,0.0,0.0
2023-10-13,Lukko,1,JYP,3,False,37,30,13,13,0.35135135135135137,0.43333333333333335,4,3,0,1,0.0,0.3333333333333333
2023-10-13,Sport,2,Tappara,3,False,62,31,35,14,0.5645161290322581,0.45161290322580644,3,2,0,0,0.0,0.0
2023-10-13,Ässät,3,Ilves,2,True,58,38,28,20,0.4827586206896552,0.5263157894736842,3,2,1,0,0.3333333333333333,0.0
2023-10-14,HPK,3,Ässät,1,False,25,60,19,31,0.76,0.5166666666666667,5,3,1,0,0.2,0.0
2023-10-14,JYP,2,Jukurit,1,False,30,66,16,33,0.5333333333333333,0.5,1,2,0,0,0.0,0.0
2023-10-14,KalPa,3,HIFK,6,False,46,30,27,19,0.5869565217391305,0.6333333333333333,6,5,2,1,0.3333333333333333,0.2
2023-10-14,Kärpät,3,Pelicans,2,False,40,59,16,34,0.4,0.576271186440678,1,3,0,1,0.0,0.3333333333333333
2023-10-14,SaiPa,3,Ilves,2,True,41,52,28,24,0.6829268292682927,0.46153846153846156,1,2,1,0,1.0,0.0
2023-10-14,Tappara,2,KooKoo,1,True,47,47,22,26,0.46808510638297873,0.5531914893617021,7,1,1,0,0.14285714285714285,0.0
2023-10-14,TPS,0,Lukko,4,False,48,36,24,20,0.5,0.5555555555555556,3,5,0,2,0.0,0.4
2023-10-18,KooKoo,2,KalPa,0,False,22,48,14,28,0.6363636363636364,0.5833333333333334,4,5,0,0,0.0,0.0
2023-10-19,Kärpät,5,Jukurit,1,False,46,40,25,25,0.5434782608695652,0.625,6,2,1,0,0.16666666666666666,0.0
2023-10-19,Ässät,4,HIFK,3,False,38,47,22,25,0.5789473684210527,0.5319148936170213,4,5,0,2,0.0,0.4
2023-10-20,KalPa,3,HPK,0,False,52,37,37,19,0.7115384615384616,0.5135135135135135,3,5,1,0,0.3333333333333333,0.0
2023-10-20,KooKoo,6,JYP,3,False,40,34,24,17,0.6,0.5,5,3,0,1,0.0,0.3333333333333333
2023-10-20,Pelicans,6,Lukko,3,False,58,42,28,17,0.4827586206896552,0.40476190476190477,4,2,0,0,0.0,0.0
2023-10-20,Tappara,6,SaiPa,1,False,37,46,20,23,0.5405405405405406,0.5,3,3,2,0,0.6666666666666666,0.0
2023-10-20,TPS,1,HIFK,3,False,52,40,22,26,0.4230769230769231,0.65,3,1,0,0,0.0,0.0
2023-10-21,HPK,1,Pelicans,3,False,37,45,20,26,0.5405405405405406,0.5777777777777777,3,5,0,2,0.0,0.4
2023-10-21,JYP,1,Ilves,2,False,43,48,20,30,0.46511627906976744,0.625,2,2,0,0,0.0,0.0
2023-10-21,Kärpät,1,Tappara,4,False,68,32,34,18,0.5,0.5625,4,2,0,1,0.0,0.5
2023-10-21,Lukko,1,Jukurit,6,False,51,36,22,15,0.43137254901960786,0.4166666666666667,1,3,0,0,0.0,0.0
2023-10-21,SaiPa,3,TPS,1,False,27,54,17,30,0.6296296296296297,0.5555555555555556,1,5,1,1,1.0,0.2
2023-10-21,Sport,7,KalPa,2,False,52,37,31,24,0.5961538461538461,0.6486486486486487,4,1,1,0,0.25,0.0
2023-10-22,Ilves,2,Sport,4,False,43,39,25,26,0.5813953488372093,0.6666666666666666,4,2,1,1,0.25,0.5
2023-10-24,Jukurit,1,Pelicans,4,False,47,51,26,25,0.5531914893617021,0.49019607843137253,4,2,1,0,0.25,0.0
2023-10-25,HIFK,1,SaiPa,0,True,46,42,18,20,0.391304347826087,0.47619047619047616,1,2,0,0,0.0,0.0
2023-10-25,KooKoo,0,Ilves,4,False,46,42,21,21,0.45652173913043476,0.5,0,5,0,1,0.0,0.2
2023-10-25,Sport,4,Lukko,1,False,50,53,26,26,0.52,0.49056603773584906,3,4,0,0,0.0,0.0
2023-10-25,Tappara,2,Ässät,6,False,37,37,20,17,0.5405405405405406,0.4594594594594595,2,5,0,1,0.0,0.2
2023-10-25,TPS,1,Kärpät,0,True,44,32,22,16,0.5,0.5,3,1,0,0,0.0,0.0
2023-10-26,Pelicans,2,TPS,3,True,51,51,31,31,0.6078431372549019,0.6078431372549019,5,2,0,1,0.0,0.5
2023-10-27,Ilves,4,Tappara,3,False,34,55,25,33,0.7352941176470589,0.6,4,4,1,1,0.25,0.25
2023-10-27,Jukurit,3,KalPa,2,False,36,53,18,29,0.5,0.5471698113207547,1,4,1,1,1.0,0.25
2023-10-27,JYP,4,HIFK,2,False,44,53,25,29,0.5681818181818182,0.5471698113207547,3,3,1,1,0.3333333333333333,0.3333333333333333
2023-10-27,Kärpät,8,HPK,1,False,60,49,34,34,0.5666666666666667,0.6938775510204082,4,2,2,1,0.5,0.5
2023-10-27,Ässät,1,Lukko,2,True,28,66,16,28,0.5714285714285714,0.42424242424242425,2,3,0,0,0.0,0.0
2023-10-28,HIFK,2,Ilves,5,False,70,25,36,17,0.5142857142857142,0.68,4,1,1,0,0.25,0.0
2023-10-28,Kärpät,2,HPK,0,False,60,43,30,26,0.5,0.6046511627906976,3,2,1,0,0.3333333333333333,0.0
2023-10-28,Lukko,2,Ässät,0,False,46,45,22,19,0.4782608695652174,0.4222222222222222,1,3,0,0,0.0,0.0
2023-10-28,SaiPa,6,KooKoo,7,True,57,45,38,23,0.6666666666666666,0.5111111111111111,4,4,1,3,0.25,0.75
2023-10-28,Sport,5,Pelicans,1,False,55,35,30,20,0.5454545454545454,0.5714285714285714,5,1,3,0,0.6,0.0
2023-10-28,Tappara,3,JYP,4,False,62,47,30,26,0.4838709677419355,0.5531914893617021,4,4,1,2,0.25,0.5
2023-10-28,KalPa,4,Jukurit,1,False,44,39,31,24,0.7045454545454546,0.6153846153846154,5,5,2,1,0.4,0.2
2023-10-31,Pelicans,1,KalPa,2,False,42,26,26,15,0.6190476190476191,0.5769230769230769,3,2,0,1,0.0,0.5
2023-10-31,SaiPa,3,JYP,9,False,63,40,38,27,0.6031746031746031,0.675,2,2,0,2,0.0,1.0
2023-11-01,HPK,1,Kärpät,4,False,34,55,19,35,0.5588235294117647,0.6363636363636364,2,4,0,2,0.0,0.5
2023-11-01,Jukurit,6,TPS,2,False,54,43,26,23,0.48148148148148145,0.5348837209302325,6,2,2,1,0.3333333333333333,0.5
2023-11-01,KalPa,1,Ilves,2,False,37,34,21,25,0.5675675675675675,0.7352941176470589,5,3,0,1,0.0,0.3333333333333333
2023-11-01,Tappara,6,Lukko,3,False,39,32,17,21,0.4358974358974359,0.65625,3,2,0,1,0.0,0.5
2023-11-01,Ässät,1,KooKoo,2,True,43,36,21,21,0.4883720930232558,0.5833333333333334,2,1,1,0,0.5,0.0
2023-11-02,HIFK,3,HPK,0,False,63,40,30,19,0.47619047619047616,0.475,2,1,1,0,0.5,0.0
2023-11-02,Ilves,0,Kärpät,4,False,50,36,22,18,0.44,0.5,5,7,0,2,0.0,0.2857142857142857
2023-11-02,JYP,3,Sport,2,False,44,56,26,25,0.5909090909090909,0.44642857142857145,4,6,2,1,0.5,0.16666666666666666
2023-11-02,Lukko,5,KooKoo,4,True,36,48,22,27,0.6111111111111112,0.5625,2,3,0,1,0.0,0.3333333333333333
2023-11-03,Pelicans,3,SaiPa,4,True,55,61,26,44,0.4727272727272727,0.7213114754098361,3,2,1,0,0.3333333333333333,0.0
