date,team_name,time_pga_5v5,sum_shots_scored_pct_saves,sog_diff,pp_pct,time_pgs_5v5,pk_ga,pk_count,season
2015-09-26 00:00:00,KalPa,32.4,1.012790021669045,-40.0,0.15,36.0,2.0,18.0,2015-2016
2015-09-29 00:00:00,KalPa,34.54545454545455,1.0052498541707175,-46.0,0.125,42.22222222222222,2.0,20.0,2015-2016
2015-10-02 00:00:00,KalPa,30.714285714285715,0.9856131280206811,-53.0,0.1,47.77777777777778,3.0,25.0,2015-2016
2015-10-09 00:00:00,KalPa,34.714285714285715,0.9684026923678972,-30.0,0.08823529411764706,54.0,5.0,27.0,2015-2016
2015-10-10 00:00:00,KalPa,35.6,0.9690302690582959,-33.0,0.125,59.333333333333336,6.0,33.0,2015-2016
2015-10-14 00:00:00,KalPa,39.06666666666667,0.9786172487526728,-32.0,0.13333333333333333,58.6,6.0,37.0,2015-2016
2015-10-15 00:00:00,KalPa,37.88235294117647,0.9699058861457959,-6.0,0.12244897959183673,58.54545454545455,6.0,38.0,2015-2016
2015-10-18 00:00:00,KalPa,41.05882352941177,0.9831580729111568,-11.0,0.13725490196078433,53.69230769230769,6.0,41.0,2015-2016
2015-10-22 00:00:00,KalPa,44.35294117647059,0.9913535769428719,-16.0,0.1320754716981132,50.266666666666666,6.0,43.0,2015-2016
2015-10-24 00:00:00,KalPa,47.294117647058826,0.9954337899543378,-20.0,0.12280701754385964,50.25,6.0,48.0,2015-2016
2015-10-28 00:00:00,KalPa,45.1578947368421,1.0008307051137644,-18.0,0.1206896551724138,42.9,6.0,51.0,2015-2016
2015-10-31 00:00:00,KalPa,43.333333333333336,1.003102982513781,-17.0,0.140625,45.5,6.0,55.0,2015-2016
2015-11-11 00:00:00,KalPa,46.0,1.0039511550946751,-10.0,0.14925373134328357,48.3,7.0,57.0,2015-2016
2015-11-13 00:00:00,KalPa,46.18181818181818,1.0049839327501342,-4.0,0.1506849315068493,48.38095238095238,7.0,62.0,2015-2016
2015-11-14 00:00:00,KalPa,48.18181818181818,1.0109859009982505,-18.0,0.1518987341772152,46.08695652173913,8.0,70.0,2015-2016
2015-11-17 00:00:00,KalPa,44.48,1.0061628053784484,-15.0,0.14457831325301204,46.333333333333336,8.0,74.0,2015-2016
2015-11-19 00:00:00,KalPa,44.92307692307692,1.0083661029575033,-19.0,0.13793103448275862,44.92307692307692,9.0,76.0,2015-2016
2015-11-21 00:00:00,KalPa,46.92307692307692,1.0145276044357883,-13.0,0.15053763440860216,43.57142857142857,9.0,80.0,2015-2016
2015-11-24 00:00:00,KalPa,45.5,1.0111517925247901,-5.0,0.14432989690721648,42.46666666666667,10.0,83.0,2015-2016
2015-11-25 00:00:00,KalPa,47.214285714285715,1.0138418079096045,10.0,0.13861386138613863,40.06060606060606,10.0,89.0,2015-2016
2015-11-27 00:00:00,KalPa,44.25806451612903,1.0166390909374707,-4.0,0.14285714285714285,39.2,10.0,94.0,2015-2016
2015-12-04 00:00:00,KalPa,45.74193548387097,1.0175679716057597,-4.0,0.1388888888888889,38.32432432432432,11.0,101.0,2015-2016
2015-12-05 00:00:00,KalPa,44.60606060606061,1.0195333695062399,-14.0,0.14545454545454545,37.743589743589745,12.0,104.0,2015-2016
2015-12-11 00:00:00,KalPa,42.5,1.017747525871958,-17.0,0.1415929203539823,37.31707317073171,12.0,105.0,2015-2016
2015-12-12 00:00:00,KalPa,40.717948717948715,1.014752368858064,-19.0,0.13793103448275862,37.80952380952381,12.0,106.0,2015-2016
2015-12-15 00:00:00,KalPa,38.18604651162791,1.0116579740762748,-19.0,0.14049586776859505,37.31818181818182,13.0,109.0,2015-2016
2015-12-26 00:00:00,KalPa,38.54545454545455,1.0132272964696483,-25.0,0.14516129032258066,37.68888888888889,14.0,112.0,2015-2016
2015-12-29 00:00:00,KalPa,39.77272727272727,1.0187351817364754,-46.0,0.144,35.714285714285715,15.0,115.0,2015-2016
2016-01-03 00:00:00,KalPa,39.30434782608695,1.016567599633761,-43.0,0.14173228346456693,35.450980392156865,15.0,116.0,2015-2016
2016-01-05 00:00:00,KalPa,39.659574468085104,1.019924166449149,-47.0,0.13846153846153847,33.89090909090909,15.0,118.0,2015-2016
2016-01-08 00:00:00,KalPa,40.851063829787236,1.021716878952618,-47.0,0.13533834586466165,33.10344827586207,16.0,120.0,2015-2016
2016-01-09 00:00:00,KalPa,40.244897959183675,1.0186619019257495,-44.0,0.1366906474820144,34.0,17.0,124.0,2015-2016
