team_name,games_played,wins,ties,losses,wins_OT,points,points_per_game,win_pct,win_pct_OT,time_5v5,time_pgs_5v5,time_pga_5v5,gs_5v5,ga_5v5,pp_count,pp_time,pp_pct,pp_goals,time_pgs,pk_count,pk_time,pk_pct,pk_ga,time_pga,shots_scored_pct,shots_total,shots_against_total,shot_diff,shot_pct_total,sog_total,sog_against_total,sog_diff,sog_pct_total,save_pct,sum_shots_scored_pct_saves,home_wins,home_ties,home_losses,home_points,away_wins,away_ties,away_losses,away_points
HIFK,60,26,18,16,7,103,1.72,0.43,0.55,3090.05,21.37,28.21,143,109,156,276.15,20.51,32,8.38,167,294.33,88.02,20,14.44,6.24,2869,2684,185,51.67,2375,2141,234,52.59,90.2,96.44,14,12,4,58,12,6,12,45
HPK,60,15,10,35,4,59,0.98,0.25,0.32,3040.06,40.32,22.41,75,134,166,288.17,17.47,29,9.56,186,307.04,76.34,44,6.59,4.8,2311,3012,-701,43.42,1908,2541,-633,42.89,89.23,94.03,8,7,15,33,7,3,20,26
Ilves,60,33,14,13,7,120,2.0,0.55,0.67,3013.44,22.19,28.42,135,105,189,320.23,28.57,54,5.56,177,312.3,80.79,34,9.11,7.81,2522,2875,-353,46.73,2063,2354,-291,46.71,90.89,98.7,11,10,9,48,22,4,4,72
Jukurit,60,30,10,20,3,103,1.72,0.5,0.55,2968.36,21.4,26.59,137,110,218,362.41,24.77,54,6.43,168,300.17,84.52,26,11.33,6.46,3050,2604,446,53.94,2450,2163,287,53.11,89.53,95.99,18,4,8,59,12,6,12,44
JYP,60,16,14,30,7,69,1.15,0.27,0.38,3036.23,29.29,21.51,103,139,170,283.32,25.29,43,6.36,192,324.55,72.92,52,6.15,6.18,2461,2955,-494,45.44,2044,2403,-359,45.96,87.79,93.97,7,6,17,30,9,8,13,39
KalPa,60,25,13,22,6,94,1.57,0.42,0.52,2975.31,23.37,25.26,126,117,202,362.55,18.81,38,9.33,179,306.55,84.92,27,11.22,6.3,2684,2451,233,52.27,2251,1930,321,53.84,87.96,94.26,17,6,7,60,8,7,15,34
KooKoo,60,17,17,26,11,79,1.32,0.28,0.47,3128.12,23.21,24.5,134,126,153,259.5,20.26,31,8.23,173,281.54,72.25,48,5.52,6.2,2822,2526,296,52.77,2249,2103,146,51.68,87.58,93.78,14,5,11,50,3,12,15,29
Kärpät,60,28,14,18,8,106,1.77,0.47,0.6,3111.02,25.18,27.17,123,114,157,253.33,27.39,43,5.54,164,281.31,83.54,27,10.26,5.94,2928,2766,162,51.42,2377,2219,158,51.72,90.11,96.05,15,9,6,59,13,5,12,47
Lukko,60,22,16,22,10,92,1.53,0.37,0.53,3084.2,24.52,25.05,124,123,167,289.56,16.77,28,10.21,160,279.54,81.25,30,9.2,5.06,3100,2464,636,55.72,2515,1953,562,56.29,87.58,92.64,14,7,9,53,8,9,13,39
Pelicans,60,31,12,17,4,109,1.82,0.52,0.58,3031.49,21.58,28.36,138,106,183,316.32,18.58,34,9.19,161,294.39,78.88,34,8.4,6.49,2728,2532,196,51.86,2249,2046,203,52.36,89.0,95.49,18,6,6,62,13,6,11,47
SaiPa,60,5,20,35,10,45,0.75,0.08,0.25,3039.14,34.09,19.07,89,159,155,276.0,16.13,25,11.02,214,363.02,68.69,67,5.25,5.35,2336,3326,-990,41.26,1951,2653,-702,42.38,86.67,92.02,2,9,19,20,3,11,16,25
Sport,60,21,15,24,5,83,1.38,0.35,0.43,3075.25,26.17,22.27,117,137,181,320.5,18.23,33,9.43,150,255.02,80.67,29,8.48,5.42,2858,2497,361,53.37,2283,2123,160,51.82,88.11,93.53,13,5,12,45,8,10,12,38
Tappara,60,34,13,13,8,123,2.05,0.57,0.7,3049.3,19.4,30.12,155,101,182,296.05,21.98,40,7.24,173,293.07,78.61,37,7.55,7.81,2560,2767,-207,48.06,2057,2323,-266,46.96,91.2,99.01,19,5,6,64,15,8,7,59
TPS,60,17,19,24,14,84,1.4,0.28,0.52,3041.22,27.54,24.44,109,123,177,307.18,18.64,33,9.19,189,321.03,80.95,36,8.55,5.41,2772,2391,381,53.69,2270,2001,269,53.15,87.57,92.98,10,10,10,48,7,9,14,36
Ässät,60,19,17,24,7,81,1.35,0.32,0.43,3090.17,30.0,28.37,103,108,164,287.03,15.85,26,11.02,167,284.44,80.84,32,8.54,4.93,2759,2910,-151,48.67,2259,2348,-89,49.03,90.6,95.53,12,10,8,50,7,7,16,31
