team_name,games_played,wins,ties,losses,wins_OT,points,points_per_game,win_pct,win_pct_OT,time_5v5,time_pgs_5v5,time_pga_5v5,gs_5v5,ga_5v5,pp_count,pp_time,pp_pct,pp_goals,time_pgs,pk_count,pk_time,pk_pct,pk_ga,time_pga,shots_scored_pct,shots_total,shots_against_total,shot_diff,shot_pct_total,sog_total,sog_against_total,sog_diff,sog_pct_total,save_pct,sum_shots_scored_pct_saves,home_wins,home_ties,home_losses,home_points,away_wins,away_ties,away_losses,away_points
HIFK,60,24,17,19,8,97,1.62,0.4,0.53,2981.52,26.52,27.37,111,108,192,345.2,17.19,33,10.28,189,320.39,79.89,38,8.26,5.49,2823,2614,209,51.92,2329,2081,248,52.81,88.9,94.39,16,7,7,58,8,10,12,39
HPK,60,17,23,20,9,83,1.38,0.28,0.43,3044.33,27.11,24.33,112,124,179,296.53,19.55,35,8.29,198,351.0,85.86,28,12.32,5.69,2691,3031,-340,47.03,2249,2558,-309,46.79,90.53,96.22,11,12,7,47,6,11,13,36
Ilves,60,32,11,17,7,114,1.9,0.53,0.65,2981.43,23.4,35.3,126,84,192,320.42,27.6,53,6.03,195,334.46,81.54,36,9.18,7.01,2639,2644,-5,49.95,2146,2168,-22,49.75,91.3,98.31,17,7,6,63,15,4,11,51
Jukurit,60,24,6,30,5,83,1.38,0.4,0.48,2984.09,27.23,24.28,109,122,200,344.37,21.0,42,8.12,168,293.26,76.79,39,7.31,5.26,2947,2826,121,51.05,2441,2404,37,50.38,89.9,95.16,13,2,15,43,11,4,15,40
JYP,60,17,14,29,9,74,1.23,0.28,0.43,2967.24,25.35,23.56,116,124,191,322.32,20.42,39,8.16,204,344.04,79.9,41,8.24,6.05,2627,2962,-335,47.0,2173,2482,-309,46.68,89.39,95.44,13,7,10,51,4,7,19,23
KalPa,60,28,13,19,5,102,1.7,0.47,0.55,2997.41,24.46,30.17,121,99,211,345.38,19.91,42,8.14,178,306.17,77.53,40,7.39,6.15,2749,2558,191,51.8,2282,2040,242,52.8,89.24,95.39,16,7,7,59,12,6,12,43
KooKoo,60,19,16,25,11,84,1.4,0.32,0.5,3048.52,24.47,25.12,123,121,154,261.4,14.29,22,11.54,201,343.36,79.6,41,8.23,5.59,2774,2702,72,50.66,2267,2248,19,50.21,88.98,94.57,7,8,15,35,12,8,10,49
Kärpät,60,24,17,19,7,96,1.6,0.4,0.52,3101.07,24.25,29.49,127,104,174,315.11,15.52,27,11.4,138,237.48,76.81,32,7.26,5.23,3020,2670,350,53.08,2481,2204,277,52.96,90.49,95.72,14,10,6,56,10,7,13,40
Lukko,60,28,13,19,8,105,1.75,0.47,0.6,2971.48,26.04,32.39,114,91,185,324.5,17.84,33,9.51,190,346.0,86.84,25,13.5,5.3,2922,2475,447,54.14,2442,2085,357,53.94,91.17,96.47,15,9,6,60,13,4,13,45
Pelicans,60,30,9,21,4,103,1.72,0.5,0.57,2990.0,25.08,29.54,119,100,185,324.51,19.46,36,9.01,187,315.36,82.89,32,9.52,6.39,2596,2707,-111,48.95,2158,2192,-34,49.61,90.62,97.01,19,2,9,60,11,7,12,43
SaiPa,60,8,17,35,7,48,0.8,0.13,0.25,3044.04,38.32,17.54,79,170,173,291.39,20.23,35,8.2,196,324.19,78.06,43,7.33,5.07,2448,3252,-804,42.95,2042,2629,-587,43.72,87.39,92.46,6,8,16,30,2,9,19,18
Sport,60,16,12,32,3,63,1.05,0.27,0.32,2989.28,32.51,24.07,91,124,197,354.17,15.23,30,11.49,187,310.07,76.47,44,7.03,4.75,2654,2576,78,50.75,2213,2187,26,50.3,88.32,93.07,13,5,12,46,3,7,20,17
Tappara,60,33,11,16,6,116,1.93,0.55,0.65,3072.16,22.56,29.5,134,103,185,302.24,24.86,46,6.34,153,262.54,79.74,31,8.29,6.74,2775,2158,617,56.25,2262,1829,433,55.29,88.85,95.59,18,6,6,64,15,5,10,52
TPS,60,21,18,21,10,91,1.52,0.35,0.52,3120.4,29.26,30.54,106,101,148,254.48,19.59,29,8.47,165,284.45,83.03,28,10.1,5.37,2626,2793,-167,48.46,2203,2292,-89,49.01,90.21,95.58,12,8,10,49,9,10,11,42
Ässät,60,25,11,24,5,91,1.52,0.42,0.5,2978.25,31.41,27.5,94,107,190,314.04,16.32,31,10.08,207,344.09,83.09,35,9.5,4.8,2685,3008,-323,47.16,2245,2534,-289,46.98,90.7,95.5,15,6,9,53,10,5,15,38
