team_name,games_played,wins,ties,losses,wins_OT,points,points_per_game,win_pct,win_pct_OT,time_5v5,time_pgs_5v5,time_pga_5v5,gs_5v5,ga_5v5,pp_count,pp_time,pp_pct,pp_goals,time_pgs,pk_count,pk_time,pk_pct,pk_ga,time_pga,shots_scored_pct,shots_total,shots_against_total,shot_diff,shot_pct_total,sog_total,sog_against_total,sog_diff,sog_pct_total,save_pct,sum_shots_scored_pct_saves,home_wins,home_ties,home_losses,home_points,away_wins,away_ties,away_losses,away_points
HIFK,60,22,13,25,8,87,1.45,0.37,0.5,3049.21,27.28,30.48,111,99,156,269.29,13.46,21,12.5,186,331.22,80.11,37,8.57,5.41,2550,2622,-72,49.3,2368,2444,-76,49.21,91.11,96.52,13,4,13,45,9,9,12,42
HPK,60,23,17,20,12,98,1.63,0.38,0.58,3015.56,26.27,33.53,114,89,188,325.1,17.02,32,10.01,192,321.55,79.17,40,8.03,4.78,3203,2425,778,56.91,2919,2253,666,56.44,90.32,95.1,16,8,6,61,7,9,14,37
Ilves,60,21,13,26,6,82,1.37,0.35,0.45,3005.14,28.54,26.5,104,112,182,313.36,17.58,32,9.48,187,329.17,83.96,30,10.59,5.18,2760,2770,-10,49.91,2546,2617,-71,49.31,91.13,96.31,8,6,16,33,13,7,10,49
Jukurit,60,20,12,28,4,76,1.27,0.33,0.4,3039.11,33.02,31.59,92,95,182,321.57,18.68,34,9.28,167,276.04,77.84,37,7.28,4.72,2709,2659,50,50.47,2547,2443,104,51.04,90.34,95.06,8,8,14,35,12,4,14,41
JYP,60,28,18,14,9,111,1.85,0.47,0.62,2992.45,29.56,32.32,100,92,206,337.22,24.76,51,6.37,188,332.51,85.64,27,12.2,5.42,2951,2753,198,51.74,2776,2583,193,51.8,92.03,97.45,17,7,6,61,11,11,8,50
KalPa,60,28,19,13,9,112,1.87,0.47,0.62,2964.32,26.14,29.04,113,102,228,391.09,21.05,48,8.09,185,319.19,82.16,33,9.41,5.58,3011,2534,477,54.3,2805,2399,406,53.9,90.85,96.43,16,10,4,64,12,9,9,48
KooKoo,60,15,18,27,7,70,1.17,0.25,0.37,2999.01,31.14,23.6,96,125,190,338.44,19.47,37,9.09,189,324.2,79.89,38,8.32,4.58,2994,3018,-24,49.8,2794,2808,-14,49.88,90.18,94.76,8,11,11,39,7,7,16,31
Kärpät,60,22,15,23,9,90,1.5,0.37,0.52,3059.01,29.08,31.13,105,98,165,267.37,23.03,38,7.03,188,325.57,83.51,31,10.31,5.74,2561,2826,-265,47.54,2386,2580,-194,48.05,91.58,97.32,13,9,8,53,9,6,15,37
Lukko,60,17,14,29,6,71,1.18,0.28,0.38,2989.17,29.01,23.21,103,128,194,325.28,21.65,42,7.45,196,327.27,79.08,41,7.59,5.53,2731,3399,-668,44.55,2575,3248,-673,44.22,90.87,96.4,8,8,14,35,9,6,15,36
Pelicans,60,23,16,21,8,93,1.55,0.38,0.52,2980.46,25.03,29.48,119,100,212,355.58,15.57,33,10.47,195,317.1,78.46,42,7.33,6.05,2594,2792,-198,48.16,2470,2626,-156,48.47,90.76,96.81,15,6,9,55,8,10,12,38
SaiPa,60,14,13,33,5,60,1.0,0.23,0.32,2964.48,37.32,22.08,79,134,191,339.51,15.18,29,11.43,203,337.41,79.31,42,8.02,4.95,2343,3148,-805,42.67,2173,2886,-713,42.95,89.9,94.85,8,7,15,31,6,6,18,29
Sport,60,16,16,28,5,69,1.15,0.27,0.35,3005.14,31.58,24.38,94,122,183,319.21,15.85,29,11.01,192,327.59,78.65,41,7.6,4.28,2990,3139,-149,48.78,2822,2891,-69,49.4,90.45,94.73,9,8,13,35,7,8,15,34
Tappara,60,34,15,11,10,127,2.12,0.57,0.73,3081.0,24.51,35.01,124,88,180,285.58,30.56,55,5.12,168,288.38,79.17,35,8.15,6.82,2714,2749,-35,49.68,2470,2541,-71,49.29,91.95,98.77,17,8,5,64,17,7,6,63
TPS,60,30,16,14,8,114,1.9,0.5,0.63,3008.13,24.52,36.41,121,82,197,337.18,18.27,36,9.22,186,316.44,80.65,36,8.48,5.39,3101,2462,639,55.74,2838,2279,559,55.46,91.72,97.11,18,6,6,62,12,10,8,52
Ässät,60,24,11,25,7,90,1.5,0.4,0.52,3020.39,30.31,27.58,99,108,159,279.34,13.84,22,12.42,191,331.48,84.82,29,11.26,4.33,2958,2789,169,51.47,2676,2567,109,51.04,91.37,95.7,14,7,9,53,10,4,16,37
