team_name,games_played,wins,ties,losses,wins_OT,points,points_per_game,win_pct,win_pct_OT,time_5v5,time_pgs_5v5,time_pga_5v5,gs_5v5,ga_5v5,pp_count,pp_time,pp_pct,pp_goals,time_pgs,pk_count,pk_time,pk_pct,pk_ga,time_pga,shots_scored_pct,shots_total,shots_against_total,shot_diff,shot_pct_total,sog_total,sog_against_total,sog_diff,sog_pct_total,save_pct,sum_shots_scored_pct_saves,home_wins,home_ties,home_losses,home_points,away_wins,away_ties,away_losses,away_points
HIFK,59,26,17,16,8,103,1.75,0.44,0.58,2942.42,26.02,29.26,113,100,198,329.24,28.28,56,5.53,185,323.25,80.0,37,8.44,6.23,2791,2324,467,54.57,2573,2079,494,55.31,89.59,95.82,12,8,10,48,14,9,6,55
HPK,59,27,14,18,7,102,1.73,0.46,0.58,2955.12,27.53,29.16,106,101,210,349.16,21.43,45,7.46,166,277.32,75.9,40,6.56,6.05,2597,2516,81,50.79,2369,2276,93,51.0,89.66,95.71,15,6,8,54,12,8,10,48
Ilves,59,32,12,15,6,114,1.93,0.54,0.64,2888.49,24.17,32.5,119,88,230,358.58,24.78,57,6.18,205,336.42,80.98,39,8.38,7.21,2524,2533,-9,49.91,2277,2316,-39,49.58,90.95,98.16,18,4,8,59,14,8,7,55
Jukurit,59,11,15,33,8,56,0.95,0.19,0.32,2957.19,38.55,22.55,76,129,196,342.09,22.96,45,7.36,179,297.14,77.65,40,7.26,5.28,2405,2654,-249,47.54,2171,2397,-226,47.53,88.24,93.52,7,6,17,31,4,9,16,25
JYP,59,25,10,24,6,91,1.54,0.42,0.53,2968.4,21.31,26.02,138,114,179,308.26,17.88,32,9.38,182,302.59,78.57,39,7.46,6.18,2864,2610,254,52.32,2609,2414,195,51.94,89.6,95.78,16,5,8,55,9,5,16,36
KalPa,59,19,13,27,5,75,1.27,0.32,0.41,2892.19,24.43,22.46,117,127,207,350.32,14.01,29,12.05,212,351.46,77.83,47,7.29,5.96,2618,2478,140,51.37,2409,2299,110,51.17,87.49,93.45,8,8,14,36,11,5,13,39
KooKoo,59,30,13,16,7,110,1.86,0.51,0.63,2910.17,26.13,33.27,111,87,197,338.15,28.43,56,6.02,193,325.14,79.79,39,8.2,5.57,3086,2455,631,55.69,2887,2312,575,55.53,90.74,96.31,17,7,5,62,13,6,11,48
Kärpät,59,36,12,11,7,127,2.15,0.61,0.73,2954.58,20.4,33.12,143,89,186,312.3,20.43,38,8.13,180,315.29,87.78,22,14.2,6.04,3065,2571,494,54.38,2780,2334,446,54.36,92.13,98.17,19,5,5,64,17,7,6,63
Lukko,59,32,14,13,8,118,2.0,0.54,0.68,2873.06,21.17,33.24,135,86,199,339.05,20.1,40,8.29,214,382.17,85.51,31,12.2,6.75,2816,2620,196,51.8,2554,2369,185,51.88,91.75,98.5,17,7,5,63,15,7,8,55
Pelicans,59,12,11,36,7,54,0.92,0.2,0.32,2976.17,35.01,21.43,85,137,158,268.06,18.99,30,8.56,209,337.19,72.73,57,5.55,5.0,2402,3028,-626,44.24,2161,2733,-572,44.16,88.53,93.53,3,9,18,24,9,2,18,30
SaiPa,59,18,8,33,4,66,1.12,0.31,0.37,2947.49,32.45,23.46,90,124,169,285.24,18.34,31,9.12,197,325.18,71.57,56,5.49,5.66,2173,2848,-675,43.28,1960,2583,-623,43.14,88.53,94.19,8,5,16,32,10,3,17,34
Sport,59,11,12,36,4,49,0.83,0.19,0.25,2872.25,31.34,22.48,91,126,207,357.48,16.91,35,10.13,210,352.4,73.33,56,6.18,4.59,2813,2676,137,51.25,2555,2433,122,51.22,87.57,92.16,6,7,17,28,5,5,19,21
Tappara,60,30,18,12,11,119,1.98,0.5,0.68,3040.03,24.08,33.03,126,92,195,318.3,25.64,50,6.22,177,304.41,83.05,30,10.09,7.42,2533,2694,-161,48.46,2293,2478,-185,48.06,92.12,99.54,13,10,7,54,17,8,5,65
TPS,59,17,13,29,5,69,1.17,0.29,0.37,2931.46,29.55,21.53,98,134,184,309.19,23.91,44,7.02,206,352.46,80.1,41,8.36,6.18,2411,2813,-402,46.15,2121,2534,-413,45.56,88.76,94.94,6,5,18,24,11,8,11,45
Ässät,59,20,12,27,4,76,1.29,0.34,0.41,2915.22,28.02,24.42,104,118,193,340.5,17.1,33,10.2,193,323.1,75.65,47,6.53,5.42,2600,2786,-186,48.27,2346,2508,-162,48.33,89.13,94.55,11,5,14,39,9,7,13,37
