team_name,games_played,wins,ties,losses,wins_OT,points,points_per_game,win_pct,win_pct_OT,time_5v5,time_pgs_5v5,time_pga_5v5,gs_5v5,ga_5v5,pp_count,pp_time,pp_pct,pp_goals,time_pgs,pk_count,pk_time,pk_pct,pk_ga,time_pga,shots_scored_pct,shots_total,shots_against_total,shot_diff,shot_pct_total,sog_total,sog_against_total,sog_diff,sog_pct_total,save_pct,sum_shots_scored_pct_saves,home_wins,home_ties,home_losses,home_points,away_wins,away_ties,away_losses,away_points
HIFK,59,27,13,19,5,99,1.68,0.46,0.54,3044.02,23.36,26.56,129,113,158,274.0,24.68,39,7.02,155,266.31,83.23,26,10.15,6.1,2854,2328,526,55.08,2600,2094,506,55.39,88.7,94.8,15,6,9,52,12,7,10,47
HPK,60,24,14,22,9,95,1.58,0.4,0.55,3009.06,25.43,28.39,117,105,168,294.47,12.5,21,14.02,190,342.24,86.32,26,13.1,5.74,2561,2755,-194,48.18,2342,2525,-183,48.12,91.38,97.12,13,8,9,53,11,6,13,42
Ilves,60,28,17,15,10,111,1.85,0.47,0.63,3036.24,20.15,23.11,150,131,186,313.0,16.67,31,10.06,181,315.28,81.77,33,9.34,7.47,2558,2701,-143,48.64,2321,2469,-148,48.46,89.83,97.3,17,7,6,62,11,10,9,49
Jukurit,60,31,12,17,8,113,1.88,0.52,0.65,3048.4,24.59,30.48,122,99,181,301.12,22.1,40,7.32,171,288.05,80.7,33,8.44,5.95,2791,2648,143,51.31,2625,2490,135,51.32,91.14,97.09,15,6,9,54,16,6,8,59
JYP,60,14,12,34,8,62,1.03,0.23,0.37,2919.22,31.03,18.01,94,162,193,325.07,20.73,40,8.08,225,387.47,78.22,49,7.55,5.4,2572,3149,-577,44.96,2318,2875,-557,44.64,88.06,93.46,5,6,19,26,9,6,15,36
KalPa,60,19,22,19,9,88,1.47,0.32,0.47,3010.38,28.24,25.05,106,120,212,371.07,24.53,52,7.08,179,297.04,83.24,30,9.54,6.06,2755,2305,450,54.45,2527,2056,471,55.14,87.84,93.9,13,10,7,56,6,12,12,32
KooKoo,60,25,14,21,5,94,1.57,0.42,0.5,3042.31,26.55,35.23,113,86,166,286.36,16.27,27,10.37,190,316.19,75.26,47,6.44,5.37,2756,2723,33,50.3,2513,2548,-35,49.65,91.1,96.47,15,7,8,54,10,7,13,40
Kärpät,60,24,16,20,7,95,1.58,0.4,0.52,3024.39,25.12,27.3,120,110,157,315.16,29.3,46,6.51,174,309.03,85.63,25,12.22,6.93,2468,2783,-315,47.0,2203,2556,-353,46.29,91.18,98.11,13,9,8,53,11,7,12,42
Lukko,58,24,12,22,5,89,1.53,0.41,0.5,2919.14,22.07,28.21,132,103,158,279.46,20.25,32,8.45,184,316.47,78.8,39,8.07,5.64,2994,2358,636,55.94,2707,2164,543,55.57,89.03,94.67,11,8,9,44,13,4,13,45
Pelicans,60,25,14,21,4,93,1.55,0.42,0.48,3017.59,27.57,28.12,108,107,186,327.04,15.59,29,11.17,172,301.45,83.72,28,10.47,6.18,2297,2828,-531,44.82,2079,2477,-398,45.63,90.98,97.16,15,5,10,52,10,9,11,41
SaiPa,60,15,10,35,3,58,0.97,0.25,0.3,2971.2,34.09,20.13,87,147,211,357.08,17.54,37,9.39,181,306.29,79.01,38,8.04,5.65,2266,2912,-646,43.76,2070,2598,-528,44.34,88.14,93.79,7,6,17,29,8,4,18,29
Sport,59,18,15,26,8,77,1.31,0.31,0.44,2976.05,35.26,26.34,84,112,196,335.35,14.29,28,11.59,161,274.51,78.88,34,8.05,4.56,2633,2482,151,51.48,2415,2228,187,52.01,88.69,93.25,11,7,12,44,7,8,14,33
Tappara,60,31,13,16,9,115,1.92,0.52,0.67,3072.52,20.46,30.44,148,100,171,302.39,16.96,29,10.26,145,259.01,88.28,17,15.14,6.64,2831,2151,680,56.82,2525,1961,564,56.29,91.06,97.7,15,7,8,56,16,6,8,59
TPS,60,29,9,22,6,102,1.7,0.48,0.58,2906.45,27.01,30.55,107,94,189,326.25,19.05,36,9.04,188,400.31,80.32,37,10.49,5.64,2679,2559,120,51.15,2364,2336,28,50.3,91.06,96.7,13,5,12,48,16,4,10,54
Ässät,60,11,13,36,7,53,0.88,0.18,0.3,3046.15,30.46,23.59,99,127,158,286.34,13.92,22,13.02,194,314.11,75.77,47,6.41,4.81,2640,2881,-241,47.82,2380,2612,-232,47.68,89.12,93.93,5,6,19,25,6,7,17,28
