team_name,games_played,wins,ties,losses,wins_OT,points,points_per_game,win_pct,win_pct_OT,time_5v5,time_pgs_5v5,time_pga_5v5,gs_5v5,ga_5v5,pp_count,pp_time,pp_pct,pp_goals,time_pgs,pk_count,pk_time,pk_pct,pk_ga,time_pga,shots_scored_pct,shots_total,shots_against_total,shot_diff,shot_pct_total,sog_total,sog_against_total,sog_diff,sog_pct_total,save_pct,sum_shots_scored_pct_saves,home_wins,home_ties,home_losses,home_points,away_wins,away_ties,away_losses,away_points
Blues,60,13,14,33,6,59,0.98,0.22,0.32,2956.11,37.54,25.16,78,117,195,350.15,12.31,24,14.36,206,355.08,80.58,40,8.53,4.2,2571,2814,-243,47.74,2364,2671,-307,46.95,90.42,94.62,7,9,14,34,6,5,19,25
HIFK,60,37,10,13,6,127,2.12,0.62,0.72,2964.35,22.59,32.35,129,91,213,348.24,21.13,45,7.45,194,324.44,80.93,37,8.47,6.68,2783,2572,211,51.97,2620,2425,195,51.93,91.62,98.3,19,5,6,65,18,5,7,62
HPK,60,18,9,33,5,68,1.13,0.3,0.38,2987.56,38.18,24.18,78,123,197,343.43,20.81,41,8.23,184,306.47,78.8,39,7.52,4.64,2694,2683,11,50.1,2525,2521,4,50.04,89.85,94.49,10,4,16,37,8,5,17,31
Ilves,60,16,10,34,5,63,1.05,0.27,0.35,2926.13,34.02,25.27,86,115,205,353.42,16.1,33,10.43,209,360.2,80.38,41,8.47,4.43,2801,2652,149,51.37,2613,2494,119,51.17,89.77,94.2,13,7,10,49,3,3,24,14
JYP,60,29,12,19,7,106,1.77,0.48,0.6,2984.24,26.25,32.05,113,93,209,352.16,18.66,39,9.02,180,313.11,80.56,35,8.57,5.22,2989,2753,236,52.06,2857,2587,270,52.48,90.98,96.2,14,6,10,52,15,6,9,54
KalPa,60,21,17,22,10,90,1.5,0.35,0.52,2940.03,34.11,31.37,86,93,219,388.02,13.24,29,13.23,193,334.58,84.97,29,11.33,5.28,2444,2751,-307,47.05,2279,2591,-312,46.8,92.0,97.28,11,8,11,46,10,9,11,44
KooKoo,60,16,20,24,10,78,1.3,0.27,0.43,3077.12,34.35,27.58,89,110,173,299.23,18.5,32,9.21,184,306.09,78.8,39,7.51,5.18,2488,3265,-777,43.25,2311,3033,-722,43.24,91.16,96.34,10,12,8,48,6,8,16,30
Kärpät,60,33,14,13,6,119,1.98,0.55,0.65,3013.37,25.32,33.52,118,89,200,325.42,26.0,52,6.16,186,312.5,83.87,30,10.26,6.09,2922,2441,481,54.48,2760,2252,508,55.07,91.54,97.63,21,4,5,69,12,10,8,50
Lukko,60,24,13,23,9,94,1.57,0.4,0.55,2989.1,31.28,29.36,95,101,187,316.19,26.74,50,6.2,191,342.34,85.86,27,12.41,5.23,2961,2769,192,51.68,2803,2632,171,51.57,91.92,97.15,16,6,8,58,8,7,15,36
Pelicans,60,24,11,25,4,87,1.45,0.4,0.47,2856.49,30.43,25.44,93,111,218,361.45,21.56,47,7.42,251,431.27,78.49,54,7.59,5.4,2686,2880,-194,48.26,2533,2744,-211,48.0,89.82,95.22,13,3,14,43,11,8,11,44
SaiPa,60,27,13,20,5,99,1.65,0.45,0.53,2939.45,23.09,29.6,127,98,211,359.54,20.38,43,8.22,214,360.09,81.78,39,9.14,6.12,2907,2537,370,53.4,2684,2361,323,53.2,90.26,96.38,14,6,10,51,13,7,10,48
Sport,60,20,16,24,7,83,1.38,0.33,0.45,3072.05,27.41,29.5,111,103,180,301.55,18.33,33,9.09,183,293.52,77.05,42,6.6,5.52,2772,2664,108,50.99,2599,2443,156,51.55,90.47,95.99,11,10,9,48,9,6,15,35
Tappara,60,26,20,14,12,110,1.83,0.43,0.63,3060.28,24.06,35.35,127,86,189,316.57,20.63,39,8.08,180,304.18,77.22,41,7.25,6.68,2648,2731,-83,49.23,2483,2561,-78,49.23,91.81,98.49,15,9,6,60,11,11,8,50
TPS,60,23,15,22,6,90,1.5,0.38,0.48,2925.51,28.58,28.24,101,103,201,346.47,20.9,42,8.15,216,380.52,80.09,43,8.51,5.37,2794,2563,231,52.16,2615,2395,220,52.2,90.17,95.54,13,8,9,50,10,7,13,40
Ässät,60,20,12,28,5,77,1.28,0.33,0.42,3007.09,27.2,27.51,110,108,168,299.22,17.86,30,9.59,194,337.07,77.84,43,7.5,5.22,2738,3123,-385,46.72,2509,2845,-336,46.86,90.85,96.07,13,6,11,49,7,6,17,28
