team_name,games_played,wins,ties,losses,wins_OT,points,points_per_game,win_pct,win_pct_OT,time_5v5,time_pgs_5v5,time_pga_5v5,gs_5v5,ga_5v5,pp_count,pp_time,pp_pct,pp_goals,time_pgs,pk_count,pk_time,pk_pct,pk_ga,time_pga,shots_scored_pct,shots_total,shots_against_total,shot_diff,shot_pct_total,sog_total,sog_against_total,sog_diff,sog_pct_total,save_pct,sum_shots_scored_pct_saves,home_wins,home_ties,home_losses,home_points,away_wins,away_ties,away_losses,away_points
HIFK,50,26,11,13,7,96,1.92,0.52,0.66,2375.34,22.37,29.42,105,80,191,310.21,23.04,44,7.03,174,286.32,85.06,26,11.01,6.11,2506,1823,683,57.89,2244,1627,617,57.97,89.2,95.31,16,4,6,54,10,7,7,42
HPK,57,16,19,22,6,73,1.28,0.28,0.39,2800.28,30.46,28.17,91,99,210,349.35,21.9,46,7.36,221,347.05,73.3,59,5.53,5.84,2448,2727,-279,47.3,2154,2443,-289,46.86,88.91,94.75,12,6,11,43,4,13,11,30
Ilves,53,25,10,18,3,88,1.66,0.47,0.53,2534.35,22.5,26.41,111,95,207,353.09,21.74,45,7.51,197,323.21,79.19,41,7.53,7.0,2299,2472,-173,48.19,2082,2205,-123,48.57,90.31,97.31,13,5,9,45,12,5,9,43
Jukurit,57,13,10,34,5,54,0.95,0.23,0.32,2797.27,31.47,19.5,88,141,196,332.52,14.8,29,11.29,197,326.4,78.68,42,7.47,5.32,2257,2712,-455,45.42,2092,2510,-418,45.46,87.19,92.51,10,7,12,40,3,3,22,14
JYP,59,13,12,34,4,55,0.93,0.22,0.29,2841.57,29.36,19.12,96,148,220,375.33,14.55,32,11.44,227,372.14,77.53,51,7.18,5.78,2404,3106,-702,43.63,2177,2865,-688,43.18,88.22,94.0,9,4,17,31,4,8,17,24
KalPa,58,25,15,18,7,97,1.67,0.43,0.55,2799.44,24.6,32.56,112,85,209,356.01,15.79,33,10.47,211,363.58,83.41,35,10.24,5.85,2598,2245,353,53.64,2357,2024,333,53.8,90.71,96.56,10,9,10,42,15,6,8,55
KooKoo,55,25,11,19,5,91,1.65,0.45,0.55,2646.41,22.26,32.41,118,81,214,354.28,18.22,39,9.05,207,335.58,82.13,37,9.05,5.92,2785,2279,506,55.0,2557,2097,460,54.94,90.01,95.93,13,4,11,45,12,7,8,46
Kärpät,58,25,12,21,10,97,1.67,0.43,0.6,2783.35,27.02,28.6,103,96,187,316.21,16.04,30,10.33,211,369.36,83.41,35,10.34,5.63,2538,2296,242,52.5,2278,2084,194,52.22,89.39,95.02,9,8,11,41,16,4,10,56
Lukko,60,38,7,15,6,127,2.12,0.63,0.73,2894.49,20.41,33.4,140,86,232,368.2,21.98,51,7.13,213,367.31,88.26,25,14.42,6.85,2979,2667,312,52.76,2710,2384,326,53.2,92.24,99.09,22,5,3,76,16,2,12,51
Pelicans,58,25,12,21,10,97,1.67,0.43,0.6,2815.25,27.36,29.2,102,96,226,368.16,23.45,53,6.57,212,342.49,79.25,44,7.47,6.84,2472,2683,-211,47.95,2180,2370,-190,47.91,90.28,97.12,15,4,10,52,10,8,11,45
SaiPa,53,13,9,31,3,51,0.96,0.25,0.3,2529.55,39.32,23.26,64,108,208,351.35,13.94,29,12.07,191,329.32,83.77,31,10.38,4.67,2035,2436,-401,45.52,1835,2150,-315,46.05,88.93,93.6,6,5,16,25,7,4,15,26
Sport,54,19,12,23,6,75,1.39,0.35,0.46,2681.51,30.08,27.56,89,96,185,305.39,15.68,29,10.32,185,304.58,80.54,36,8.28,5.33,2306,2470,-164,48.28,2135,2216,-81,49.07,90.15,95.48,10,4,11,37,9,8,12,38
Tappara,59,26,13,20,8,99,1.68,0.44,0.58,2894.28,25.1,24.07,115,120,220,348.26,21.82,48,7.16,203,341.02,86.7,27,12.38,6.39,2675,2266,409,54.14,2416,2056,360,54.03,89.05,95.44,13,8,8,51,13,5,12,48
TPS,59,27,18,14,7,106,1.8,0.46,0.58,2818.13,26.06,29.59,108,94,229,385.11,20.52,47,8.12,244,401.13,84.43,38,10.34,6.28,2628,2540,88,50.85,2334,2291,43,50.46,90.61,96.89,12,11,7,51,15,7,7,55
Ässät,58,15,15,28,6,66,1.14,0.26,0.36,2766.24,25.37,22.08,108,125,209,348.1,17.7,37,9.25,250,411.28,74.0,65,6.2,5.57,2692,2900,-208,48.14,2413,2642,-229,47.73,88.42,93.99,9,9,10,41,6,6,18,25
