team_name,games_played,wins,ties,losses,wins_OT,points,points_per_game,win_pct,win_pct_OT,time_5v5,time_pgs_5v5,time_pga_5v5,gs_5v5,ga_5v5,pp_count,pp_time,pp_pct,pp_goals,time_pgs,pk_count,pk_time,pk_pct,pk_ga,time_pga,shots_scored_pct,shots_total,shots_against_total,shot_diff,shot_pct_total,sog_total,sog_against_total,sog_diff,sog_pct_total,save_pct,sum_shots_scored_pct_saves,home_wins,home_ties,home_losses,home_points,away_wins,away_ties,away_losses,away_points
HIFK,60,26,17,17,8,103,1.72,0.43,0.57,2996.0,25.36,35.4,117,84,186,326.49,22.58,42,7.47,193,328.4,80.31,38,8.39,5.68,2872,2595,277,52.53,2614,2360,254,52.55,91.37,97.05,18,8,4,67,8,9,13,36
HPK,60,20,11,29,7,78,1.3,0.33,0.45,2877.05,32.42,24.48,88,116,224,386.18,21.88,49,7.53,213,372.36,83.1,36,10.21,5.5,2637,2897,-260,47.65,2392,2652,-260,47.42,90.7,96.2,11,5,14,40,9,6,15,38
Ilves,60,21,13,26,5,81,1.35,0.35,0.43,3000.31,26.19,21.45,114,138,206,347.35,20.39,42,8.17,175,282.5,73.14,47,6.01,5.71,2839,2582,257,52.37,2621,2418,203,52.01,87.55,93.26,14,7,9,52,7,6,17,29
Jukurit,60,16,14,30,5,67,1.12,0.27,0.35,2913.27,33.53,24.41,86,118,209,353.04,19.14,40,8.5,224,384.5,79.91,45,8.33,5.29,2516,2870,-354,46.71,2378,2709,-331,46.75,89.48,94.77,9,7,14,36,7,7,16,31
JYP,60,32,8,20,4,108,1.8,0.53,0.6,2919.36,22.38,29.12,129,100,202,332.17,25.74,52,6.23,212,375.06,79.25,44,8.32,5.91,3166,2638,528,54.55,2988,2476,512,54.69,90.45,96.36,19,3,8,62,13,5,12,46
KalPa,60,26,14,20,7,99,1.65,0.43,0.55,2954.12,28.41,28.58,103,102,217,366.3,17.05,37,9.54,192,334.03,85.94,27,12.22,5.24,2746,2694,52,50.48,2550,2497,53,50.53,91.41,96.65,15,11,4,61,11,3,16,38
KooKoo,60,14,15,31,5,62,1.03,0.23,0.32,2955.51,29.16,20.32,101,144,209,355.52,18.66,39,9.07,208,337.2,76.92,48,7.02,4.88,2908,3232,-324,47.36,2770,3083,-313,47.33,89.23,94.11,5,11,14,31,9,4,17,31
Kärpät,60,33,16,11,8,123,2.05,0.55,0.68,2958.03,20.24,32.09,145,92,212,369.09,21.23,45,8.12,193,337.1,82.9,33,10.13,6.43,3031,2675,356,53.12,2855,2492,363,53.39,91.42,97.85,21,6,3,71,12,10,8,52
Lukko,60,21,14,25,8,85,1.42,0.35,0.48,2956.13,28.59,27.38,102,107,209,360.38,15.31,32,11.16,203,338.46,86.21,28,12.06,5.29,2666,3035,-369,46.76,2456,2805,-349,46.68,91.53,96.82,13,8,9,52,8,6,16,33
Pelicans,60,20,16,24,7,83,1.38,0.33,0.45,2853.11,25.28,24.49,112,115,238,409.57,19.33,46,8.55,240,399.07,79.17,50,7.59,6.0,2749,2729,20,50.18,2537,2503,34,50.34,88.93,94.93,11,10,9,47,9,6,15,36
SaiPa,60,21,19,20,11,93,1.55,0.35,0.53,2945.02,28.52,27.31,102,107,210,340.22,19.52,41,8.18,231,386.0,78.79,49,7.53,5.76,2657,2906,-249,47.76,2421,2665,-244,47.6,90.62,96.38,12,11,7,54,9,8,13,39
Sport,60,12,15,33,7,58,0.97,0.2,0.32,2935.43,25.59,21.16,113,138,204,351.58,17.65,36,9.47,212,358.53,71.23,61,5.53,5.37,2847,2906,-59,49.49,2701,2698,3,50.03,87.65,93.02,8,5,17,32,4,10,16,26
Tappara,60,25,21,14,14,110,1.83,0.42,0.65,3032.12,26.36,34.27,114,88,192,326.41,21.88,42,7.47,181,311.58,80.66,35,8.55,5.52,2991,2665,326,52.88,2754,2466,288,52.76,91.86,97.38,17,8,5,65,8,13,9,45
TPS,60,30,15,15,7,112,1.87,0.5,0.62,2932.27,22.33,27.24,130,107,215,367.28,24.65,53,6.56,200,343.51,83.5,33,10.25,6.42,2913,2746,167,51.48,2629,2526,103,51.0,90.97,97.39,17,6,7,60,13,9,8,52
Ässät,60,23,12,25,7,88,1.47,0.38,0.5,2948.39,25.12,25.12,117,117,182,299.19,19.23,35,8.33,238,402.47,76.05,57,7.04,6.21,2623,2991,-368,46.72,2452,2768,-316,46.97,89.77,95.98,14,4,12,48,9,8,13,40
